CSR [11:10],CSR [9:8],CSR [7:0],Address (Hex),Privilege,Name,L71,A71/H71,Width,Fields,Field Type,Reset value,Instruction Access,"Updated by
,,,0x3a2,MRW,pmpcfg2,pmpcfg2 (PMP_ENABLE==1),pmpcfg2 (PMP_ENABLE==1),MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,PMP_ENABLE,ROZ,0,0,,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,0,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp11cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp10cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp9cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg,pmp8cfg
,,,0x3a3,MRW,pmpcfg3,pmpcfg3 (PMP_ENABLE==1),-,32,pmp*cfg,WARL,0 (A=L=0),"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,PMP_ENABLE,ROZ,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,0,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp15cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp14cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp13cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg,pmp12cfg
,,,0x3a4,MRW,pmpcfg4,pmpcfg4 (PMP_ENABLE==1),pmpcfg4 (PMP_ENABLE==1),MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,PMP_ENABLE,ROZ,0,0,,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,0,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp19cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp18cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp17cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg,pmp16cfg
,,,0x3a5,MRW,pmpcfg5,pmpcfg5 (PMP_ENABLE==1),-,32,pmp*cfg,WARL,0 (A=L=0),"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,PMP_ENABLE,ROZ,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,0,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp23cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp22cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp21cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg,pmp20cfg
,,,0x3a6,MRW,pmpcfg6,pmpcfg6 (PMP_ENABLE==1),pmpcfg6 (PMP_ENABLE==1),MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,PMP_ENABLE,ROZ,0,0,,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,0,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp27cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp26cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp25cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg,pmp24cfg
,,,0x3a7,MRW,pmpcfg7,pmpcfg7 (PMP_ENABLE==1),-,32,pmp*cfg,WARL,0 (A=L=0),"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,PMP_ENABLE,ROZ,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,0,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp31cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp30cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp29cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg,pmp28cfg
,,,0x3a8,MRW,pmpcfg8,ROZ,ROZ,MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,,,0,0,,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,0,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp35cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp34cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp33cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg,pmp32cfg
,,,0x3a9,MRW,pmpcfg9,ROZ,-,32,pmp*cfg,WARL,0,"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,,,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,0,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp39cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp38cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp37cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg,pmp36cfg
,,,0x3aa,MRW,pmpcfg10,ROZ,ROZ,MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,,,0,0,,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,0,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp43cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp42cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp41cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg,pmp40cfg
,,,0x3ab,MRW,pmpcfg11,ROZ,-,32,pmp*cfg,WARL,0,"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,,,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,0,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp47cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp46cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp45cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg,pmp44cfg
,,,0x3ac,MRW,pmpcfg12,ROZ,ROZ,MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,,,0,0,,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,0,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp51cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp50cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp49cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg,pmp48cfg
,,,0x3ad,MRW,pmpcfg13,ROZ,-,32,pmp*cfg,WARL,0,"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,,,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,0,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp55cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp54cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp53cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg,pmp52cfg
,,,0x3ae,MRW,pmpcfg14,ROZ,ROZ,MXLEN,pmp*cfg,WARL,0,PMP_ENABLE? MRW: MROZ,-,MMU,,Physical memory protection configuration.,,Memory Protect,,,,0,0,,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,0,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp59cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp58cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp57cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg,pmp56cfg
,,,0x3af,MRW,pmpcfg15,ROZ,-,32,pmp*cfg,WARL,0,"L71: PMP_ENABLE, 
A71: MROZ",-,MMU,Not available for A71/H71.,"Physical memory protection configuration, RV32 only.",,Memory Protect,,,,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,0,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp63cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp62cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp61cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg,pmp60cfg
,,,0x3b0-0x3bf,MRW,pmpaddr<0-15>,pmpaddr<0-15> (PMP_ENABLE==1),pmpaddr<0-15> (PMP_ENABLE==1),MXLEN,"RV64: addr[55:2], 
RV32: addr[33:2]",WARL,-,PMP_ENABLE? MRW: MROZ,-,MMU,"If pmpcfgx.A = NAPOT, PMPADDRx[8:0] == 9'b1.   
If pmpcfgx.A = TOR,  PMPADDRx[9:0] == 10'b0.
Reset not needed in address registers.",Physical memory protection address register. Note: MMU only reads pmpaddr[36:10] = addr[38:12] to support maximum 39-bit physical address and 4KB alignment.,,Memory Protect,,PMP_ENABLE,ROZ,-,-,,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,addr55,addr54,addr53,addr52,addr51,addr50,addr49,addr48,addr47,addr46,addr45,addr44,addr43,addr42,addr41,addr40,addr39,addr38,addr37,addr36,addr35,addr34,addr33,addr32,addr31,addr30,addr29,addr28,addr27,addr26,addr25,addr24,addr23,addr22,addr21,addr20,addr19,addr18,addr17,addr16,addr15,addr14,addr13,addr12,addr11,addr10,addr09,addr08,addr07,addr06,addr05,addr04,addr03,addr02,-,addr33,addr32,addr31,addr30,addr29,addr28,addr27,addr26,addr25,addr24,addr23,addr22,addr21,addr20,addr19,addr18,addr17,addr16,addr15,addr14,addr13,addr12,addr11,addr10,addr09,addr08,addr07,addr06,addr05,addr04,addr03,addr02
,,,0x3c0-0x3ef,MRW,pmpaddr<16-63>,ROZ,ROZ,MXLEN,"RV64: addr[55:2], 
RV32: addr[33:2]",WARL,0,MROZ,-,MMU,Reset not needed in address registers.,Physical memory protection address register.,,Memory Protect,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x3ff,MRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,00,00000000,0x400,URW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,URW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x4ff,URW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,01,00000000,0x500,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x57f,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x580,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x5a7,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
